date,vendor,product_type,product_name,pay_method,value,direction
2025-07-01,MET,monthly_income,salary,card,534837,in
2025-07-01,MET,monthly_income,fringe_benefit,nice,38793,in
2025-07-01,Universe,loan,appreciation,card,28682,out
2025-07-01,OTP,fee,account,card,449,out
2025-07-01,Melódin,eat_out,food,nice,2415,out
2025-07-01,Spar,groceries,drink,card,149,out
2025-07-01,Lidl,groceries,food,card,501,out
2025-07-01,MÁV,travel,train_ticket,card,3856,out
2025-07-02,NTS,smoking,swan_filter,card,260,out
2025-07-02,Cafe Frei,eat_out,coffee,card,750,out
2025-07-02,Apple,fee,icloud,card,399,out
2025-07-02,Lidl,groceries,food,card,1045,out
2025-07-02,Melódin,eat_out,food,nice,1890,out
2025-07-05,Müller,fun_item,booklet,card,2590,out
2025-07-05,Müller,fun_item,pen,card,695,out
2025-07-05,Müller,fun_item,lego,card,1790,out
2025-07-05,Müller,body_care,sunscreen,card,1800,out
2025-07-05,Férfiak Játékboltja,fun_item,pocket_knife,cash,6150,out
2025-07-05,Férfiak Játékboltja,gift,pocket_knife,cash,100,in
2025-07-05,Krisna,gift,charity,cash,1000,out
2025-07-05,Pajti,eat_out,coffee,card,1300,out
2025-07-05,Coop,groceries,alcohol,card,2297,out
2025-07-05,Coop,groceries,drink,card,480,out
2025-07-05,Coop,groceries,alcohol,card,1988,out
2025-07-06,OTP,fee,account,card,225,out
2025-07-06,Peking Áruház,groceries,drink,card,700,out
2025-07-07,Művészetek Völgye,fee,festival_ticket,nice,45000,out
2025-07-07,NTS,smoking,snus,card,1900,out
2025-07-07,OTP,fee,transfer,card,1200,out
2025-07-07,MÁV,travel,train_ticket,card,3856,out
2025-07-08,BKK,travel,line_ticket,card,500,out
2025-07-09,Melódin,eat_out,food,nice,2485,out
2025-07-09,Landlord,fee,flat_rent,cash,201235,out
2025-07-09,Van Graaf,clothing,underwear,card,15990,out
2025-07-09,Spar,groceries,food,card,1798,out
2025-07-09,DM,house_care,detergent,card,1375,out
2025-07-10,Melódin,eat_out,food,nice,1799,out
2025-07-10,Spar,groceries,food,card,827,out
2025-07-11,NTS,smoking,tobacco,card,2605,out
2025-07-11,Melódin,eat_out,food,nice,2799,out
