date,vendor,product_type,product_name,pay_method,value,direction
2025-07-01,met,monthly_income,salary,card,534837,in
2025-07-01,met,monthly_income,fringe_benefit,nice,38793,in
2025-07-01,universe,loan,appreciation,card,28682,out
2025-07-01,otp,fee,account,card,449,out
2025-07-01,melodin,eat_out,food,nice,2415,out
2025-07-01,spar,groceries,drink,card,149,out
2025-07-01,lidl,groceries,food,card,501,out
2025-07-01,mav,travel,train_ticket,card,3856,out
2025-07-02,nts,smoking,swan_filter,card,260,out
2025-07-02,cafe_frei,eat_out,coffee,card,750,out
2025-07-02,apple,fee,icloud,card,399,out
2025-07-02,lidl,groceries,food,card,1045,out
2025-07-02,melodin,eat_out,food,nice,1890,out
2025-07-05,muller,fun_item,booklet,card,2590,out
2025-07-05,muller,fun_item,pen,card,695,out
2025-07-05,muller,fun_item,lego,card,1790,out
2025-07-05,muller,body_care,sunscreen,card,1800,out
2025-07-05,ferfiak_jatekboltja,fun_item,pocket_knife,cash,6150,out
2025-07-05,ferfiak_jatekboltja,gift,pocket_knife,cash,100,in
2025-07-05,krisna,gift,charity,cash,1000,out
2025-07-05,pajti,eat_out,coffee,card,1300,out
2025-07-05,coop,groceries,alcohol,card,2297,out
2025-07-05,coop,groceries,drink,card,480,out
2025-07-05,coop,groceries,alcohol,card,1988,out
2025-07-06,otp,fee,account,card,225,out
2025-07-06,peking_aruhaz,groceries,drink,card,700,out
2025-07-07,muveszetek_volgye,fee,festival_ticket,nice,45000,out
2025-07-07,nts,smoking,snus,card,1900,out
2025-07-07,otp,fee,transfer,card,1200,out
2025-07-07,mav,travel,train_ticket,card,3856,out
2025-07-08,bkk,travel,line_ticket,card,500,out
2025-07-09,melodin,eat_out,food,nice,2485,out
2025-07-09,landlord,fee,flat_rent,cash,201235,out
2025-07-09,van_graaf,clothing,underwear,card,15990,out
2025-07-09,spar,groceries,food,card,1798,out
2025-07-09,dm,house_care,detergent,card,1375,out
2025-07-10,melodin,eat_out,food,nice,1799,out
2025-07-10,spar,groceries,food,card,827,out
2025-07-11,nts,smoking,tobacco,card,2605,out
2025-07-11,melodin,eat_out,food,nice,2799,out
2025-07-11,mav,travel,train_ticket,card,3856,out
